testLocation,ppt,MeanLLM,MeanSLM,stdLLM,stdSLM,nSettings,LogAxisRatio,AxisRatioNormed,EllipseAngleUnnormed,timestart,CL,testSeason,age,birthLocation,birthNumber,birthSeason
1,061o,0.692471239270118,1.09051434708696,0.00426035778531261,0.107640999724408,38,0.203502745106773,1.59772762801051,90.9922758592918,27-Nov-2021 18:34:19,0.763576357635764,3,33,0,11,3
0,061t,0.69231584751385,1.14809291047971,0.00783251512577337,0.195155874365309,49,0.223737793197931,1.67393192865895,91.0911414629799,08-Dec-2021 14:08:37,0.757375737573757,3,24.5833333333333,0,5,1
1,062o,0.691604301704332,1.18862490882694,0.00481571302420115,0.130993683473749,26,0.242100729453304,1.74622712262138,91.0669545178497,28-Nov-2021 15:57:30,0.751475147514752,3,22.5,0,5,1
0,062t,0.696163850180704,1.20301539143801,0.00725483124334018,0.198928307569202,50,0.397365200734283,2.49669332827376,91.5124145834139,10-Dec-2021 12:14:36,0.761876187618762,3,26.9166666666667,1,3,4
1,063o,0.696885880642657,1.28056754102635,0.00639801481898986,0.225950304827677,75,0.318115831347924,2.08025144017575,91.0137105032965,29-Nov-2021 07:09:31,0.755875587558756,3,28.5,0,5,1
0,063t,0.686298004007672,1.34274244854355,0.0112146124333613,0.290638400943123,49,0.493525052764093,3.1154806107821,91.7981404887623,13-Dec-2021 12:11:12,0.722172217221722,3,29.3333333333333,0,8,2
1,064o,0.691947834573747,1.03001544417828,0.0054230191984554,0.0979313289827332,39,0.3635435315793,2.30963595405936,92.1735296494298,30-Nov-2021 09:18:58,0.768376837683768,3,21.8333333333333,0,2,4
0,064t,0.69407998442451,1.19028568605295,0.00652586187503985,0.218496621267862,49,0.228944052864358,1.69411954475868,90.8274050210188,21-Jan-2022 09:53:13,0.757675767576758,3,24.6666666666667,1,5,1
1,065o,0.701003778735827,0.9312615504854,0.00728509771019601,0.10991982783828,29,0.425735837025063,2.66523702036753,92.8631924370569,01-Dec-2021 14:13:54,0.801780178017802,3,22.8333333333333,0,2,4
0,065t,0.684377115069628,1.28449260466694,0.00877759467066801,0.266080384209901,53,0.250246091968155,1.77928735351938,90.9833623989304,21-Jan-2022 12:13:47,0.723072307230723,3,24.25,1,10,2
1,066o,0.696655710375682,0.984739717456698,0.00463855220629745,0.0898306369715348,32,0.378244268906191,2.38915468499374,92.0783672958392,09-Dec-2021 12:04:29,0.785178517851785,3,25.6666666666667,0,5,1
0,066t,0.68567999589882,1.33547518733578,0.00724553720009448,0.198823182999995,59,0.1213059347064,1.32222673651529,90.569181590949,07-Mar-2022 15:08:47,0.721272127212721,4,21.75,0,6,1
1,067o,0.695249396811861,0.975230935355756,0.00685442116986797,0.115282260774352,51,0.188947681588952,1.5450682976672,91.3990345523707,10-Dec-2021 10:09:43,0.782478247824782,3,21.6666666666667,0,4,4
